"district_id","Id","amount","duration","payments","Predicted","birth_number","gender","household_amount","region","no. of inhabitants","ratio of urban inhabitants","average salary","no. of enterpreneurs per 1000 inhabitants","diff_unemploymant","avg_unemploymant","diff_crimes","avg_crimes","ratio_crimes","type_card","balance_sd","balance_diff"
65,5208,99696,48,2077,-1,1971-06-25,0,0,7,114200,43.7,8403,105,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,0,28762.2069360507,128659.5
62,5209,182640,48,3805,1,1942-04-19,0,61,7,145688,40.7,8544,109,0.57,1.575,187,2812.5,0.0193049530503542,0,14199.3815228476,63811.8
38,5212,71064,36,1974,1,1946-10-17,0,1178,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0,9923.17154112448,54673.3
19,5237,45336,24,1889,1,1957-04-29,1,5930,6,51428,52.7,8402,120,0.85,3.555,100,1049,0.0203974488605429,0,11574.1022400041,70686
31,5269,164052,36,4557,-1,1975-09-12,0,0,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0,30609.3898880806,114610.3
69,5282,388512,48,8094,-1,1969-03-13,0,0,4,42821,48.4,8173,124,0,7.01,0,1358,0.0317134116438196,0,21196.6821317327,87582.3
31,5285,78936,12,6578,1,1957-01-22,0,2359,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0,7684.86970531107,39660.3
68,5301,141948,36,3943,1,1950-09-26,0,0,4,228848,57.2,9893,96,0.63,4.405,264,5755,0.0251476962874921,0,17970.9789771546,62463.1
28,5310,248148,36,6893,1,1940-07-24,0,853,8,72541,36.9,8594,112,0.39,1.815,-55,1552.5,0.0214016900787141,0,10761.578895609,66886
28,5311,30060,60,501,1,1951-09-06,1,4353,8,72541,36.9,8594,112,0.39,1.815,-55,1552.5,0.0214016900787141,2,11270.5037458701,68882.9
31,5312,202788,36,5633,1,1953-07-20,0,11994,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0,23297.6635746445,138780.9
30,5314,96396,12,8033,-1,1947-07-22,0,0,8,94812,81.8,9650,100,0.29,3.525,-181,2894.5,0.0305288360123191,0,8330.8663014919,19000
46,5316,165960,36,4610,1,1968-07-22,1,4167,2,112709,73.5,8369,117,0.52,2.05,-236,2736,0.0242749026253449,0,29122.0594539456,119812.8
68,5319,239460,60,3991,1,1942-09-13,0,4206,4,228848,57.2,9893,96,0.63,4.405,264,5755,0.0251476962874921,0,16062.5321384148,74108.8
14,5325,105804,36,2939,1,1940-04-20,0,6994,6,177686,74.8,10045,135,0.29,1.565,-309,6449.5,0.0362971759170672,0,14151.2604430371,64898.5
19,5329,396120,60,6602,1,1950-01-02,0,0,6,51428,52.7,8402,120,0.85,3.555,100,1049,0.0203974488605429,0,20275.1419809661,104359.1
32,5337,162468,36,4513,1,1957-08-23,0,0,3,105058,81,9272,118,0.42,3.01,165,4422.5,0.0420957947038779,0,24180.8889239258,83162.8
26,5350,249312,48,5194,1,1955-05-21,1,14164,8,170449,100,10787,131,0.45,2.865,220,6151,0.0360870406983907,0,23021.0410612378,87697.4
1,5351,205200,36,5700,1,1963-01-25,0,7001,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,17204.0709095607,93028.5
68,5352,68400,12,5700,-1,1976-06-09,0,0,4,228848,57.2,9893,96,0.63,4.405,264,5755,0.0251476962874921,0,12297.1550986777,50442.2
70,5366,86184,12,7182,1,1940-12-04,0,107,4,285387,89.9,10177,81,1.12,7.19,230,9993,0.0350156103816922,0,25642.0771571919,127846
1,5375,101520,12,8460,1,1976-10-12,0,3468,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,10352.391968575,42818.7
1,5385,71460,36,1985,1,1980-08-31,0,7264,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,16380.594606473,75703.1
31,5388,61560,12,5130,1,1943-01-04,1,1737,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0,17762.2246702773,73359.9
16,5390,170256,24,7094,1,1965-07-16,0,5922,6,93931,56.9,8427,107,0.42,1.33,39,1893.5,0.0201584141550713,0,13589.3839888406,79669.8
67,5395,299088,36,8308,-1,1966-12-10,0,1085,4,106054,63.1,8110,109,0.78,6.16,-165,3161.5,0.0298102853263432,0,33855.6980257672,193409.9
19,5409,182040,60,3034,1,1951-03-24,0,0,6,51428,52.7,8402,120,0.85,3.555,100,1049,0.0203974488605429,0,21927.6795286742,109847.5
31,5413,92976,24,3874,1,1970-10-07,0,13386,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0,26490.3161352521,122042.1
34,5414,185952,48,3874,1,1945-02-22,1,4625,3,125236,87.7,9675,100,1.25,7.055,-133,5256.5,0.0419727554377336,0,31588.3799619124,144618.2
73,5415,139464,36,3874,-1,1958-08-12,1,0,4,182027,56.4,8746,90,0.41,3.535,78,4394,0.0241392760414664,0,12989.7812150903,64762.8
29,5418,347952,48,7249,1,1964-10-30,0,0,8,45714,55.6,8843,113,0.78,3.21,70,853,0.0186594916218226,0,23422.0265006617,122713.2
1,5429,20196,36,561,1,1971-02-25,1,5742,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,15288.6889647388,76958.8
33,5445,46320,24,1930,1,1979-02-14,1,3359,3,133777,84.7,8705,116,1.86,6.68,209,4754.5,0.0355404890227767,0,20752.0889350489,118992.5
68,5449,99336,24,4139,1,1980-07-09,0,4723,4,228848,57.2,9893,96,0.63,4.405,264,5755,0.0251476962874921,0,7892.72182874921,46268
52,5450,199680,60,3328,1,1949-05-23,1,3612,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0,11909.1687727066,61738.8
70,5452,49440,60,824,1,1966-10-06,0,5581,4,285387,89.9,10177,81,1.12,7.19,230,9993,0.0350156103816922,0,12804.4639168701,74119.8
28,5453,156672,36,4352,1,1956-04-25,0,4613,8,72541,36.9,8594,112,0.39,1.815,-55,1552.5,0.0214016900787141,0,6686.14559025204,41376.9
43,5464,95808,12,7984,1,1940-09-07,1,0,2,161854,76.3,9425,125,0.78,2.11,-194,3988,0.0246394899106602,0,24705.82136034,121552.2
65,5470,200976,48,4187,1,1955-02-20,1,9554,7,114200,43.7,8403,105,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,0,18916.9395762718,82953.5
1,5479,24516,12,2043,1,1958-10-07,1,0,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,29534.2181133033,125054.2
51,5482,165120,60,2752,1,1950-03-18,0,4982,2,121947,70.5,8541,131,0.46,2.74,343,3667.5,0.030074540579104,0,6878.83656641474,36846.3
64,5494,360000,48,7500,1,1973-03-07,0,0,7,197099,74.7,9624,145,0.71,1.955,-219,4374.5,0.0221944302101989,0,26193.2113809294,125472
60,5495,89340,60,1489,1,1971-11-12,0,5016,7,110643,51.9,8441,115,1.03,3.965,373,2065.5,0.0186681489113636,0,10748.387757632,53520.1
52,5519,91632,12,7636,1,1962-12-28,0,3532,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0,10641.4227535957,63877.8
63,5523,93888,36,2608,1,1950-10-20,0,0,7,86513,50.5,8288,110,0.73,4.155,-102,1511,0.0174655832071481,0,14598.865783435,51778.2
11,5533,111384,24,4641,1,1967-02-10,1,6892,1,75637,36.5,9622,154,0.14,0.52,54,3502,0.046300091225194,0,26285.8630675545,140886
11,5549,50460,60,841,1,1947-10-17,0,7289,1,75637,36.5,9622,154,0.14,0.52,54,3502,0.046300091225194,0,10371.1237818631,51171.4
74,5563,380160,60,6336,1,1949-12-15,1,0,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0,27227.8660788503,146275.1
10,5568,272520,60,4542,1,1939-09-02,1,5907,1,92084,46.7,10124,141,-0.02,0.55,506,4063,0.0441227574822988,0,24196.754530887,120791.4
1,5576,31248,12,2604,1,1939-03-15,0,0,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,28994.6264318251,143715.3
77,5586,48744,36,1354,1,1964-04-14,0,0,4,148545,53.5,8909,113,1.55,4.785,130,3525,0.0237301827728971,0,19512.7909722538,61991.3
10,5591,155616,48,3242,1,1959-10-25,0,0,1,92084,46.7,10124,141,-0.02,0.55,506,4063,0.0441227574822988,0,13711.0944582933,61853.6
44,5593,277884,36,7719,-1,1980-09-17,0,6276.92307692308,2,105606,53,8254,97,0.97,3.275,159,2245.5,0.0212629964206579,0,28041.8750797263,128394.2
49,5595,82896,12,6908,1,1972-02-06,1,9716,2,75685,60.8,8208,155,0.37,2.075,463,1891.5,0.0249917420889212,2,24685.921391444,106780.9
1,5599,15420,12,1285,1,1965-06-04,0,1455,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,7049.35098797991,40137.4
59,5606,253512,36,7042,-1,1945-08-07,0,9900,7,108871,62.1,8444,106,0.23,3.355,-290,2450,0.0225036970359416,0,24704.3850183754,110744.2
38,5610,123216,48,2567,1,1977-08-12,0,1468,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0,28089.5246363499,137733.7
14,5611,321180,60,5353,1,1936-09-07,1,14723,6,177686,74.8,10045,135,0.29,1.565,-309,6449.5,0.0362971759170672,0,21716.7502502962,89557.3
59,5624,177744,48,3703,-1,1972-03-13,1,0,7,108871,62.1,8444,106,0.23,3.355,-290,2450,0.0225036970359416,0,21147.0807028478,92219
29,5625,222180,60,3703,-1,1939-03-20,1,0,8,45714,55.6,8843,113,0.78,3.21,70,853,0.0186594916218226,0,26510.559286204,129859.1
1,5635,77184,36,2144,1,1954-12-09,0,0,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,30287.2146676703,142717.9
63,5657,4980,12,415,1,1952-07-26,0,489,7,86513,50.5,8288,110,0.73,4.155,-102,1511,0.0174655832071481,0,8705.18353992897,40306.2
9,5693,44088,24,1837,1,1951-06-25,0,3373,1,81344,55.3,8899,149,0.58,3.68,-500,2737,0.0336472265932337,0,11906.808161813,54576.8
72,5706,161496,36,4486,1,1971-07-24,1,3124,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0,19260.5462439382,113365.5
48,5713,158760,60,2646,1,1978-01-31,1,1894,2,78955,59,9060,124,0.66,2.11,62,1686,0.0213539357862073,0,8944.71531123884,58998.4
38,5723,23628,12,1969,1,1954-03-09,1,9503,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0,27950.2106897095,139228.7
1,5724,316140,60,5269,-1,1968-02-22,1,5827.77777777778,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,6901.26079064652,38816.2
64,5725,444864,48,9268,1,1964-03-29,1,3869,7,197099,74.7,9624,145,0.71,1.955,-219,4374.5,0.0221944302101989,0,11798.8301963365,62103.5
1,5739,76380,12,6365,1,1957-06-28,0,2389,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,8289.78009371184,40603.3
1,5740,18564,12,1547,1,1963-02-04,0,0,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,14265.870341694,56298.4
37,5741,68544,24,2856,1,1976-09-16,1,3976,3,114006,62.3,9065,123,0.93,4.925,19,4156.5,0.0364586074417136,0,20196.0740707449,93307.7
7,5750,63252,12,5271,1,1949-06-24,0,643,1,94725,63.4,9920,130,0.61,2.565,557,4567.5,0.0482185273159145,0,18482.2989464827,73245.5
54,5754,23052,12,1921,1,1940-11-01,0,3114,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0,8912.01935825443,53621.8
52,5804,158976,48,3312,1,1939-01-09,1,5009,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0,23319.3381850464,129693.2
11,5805,137904,24,5746,-1,1968-05-06,1,0,1,75637,36.5,9622,154,0.14,0.52,54,3502,0.046300091225194,0,11982.1017548871,42659.7
66,5836,79632,24,3318,1,1959-08-10,0,9516,7,125832,48.3,8512,102,0.61,3.815,-144,2175,0.0172849513637231,0,29061.5370551754,118473.5
58,5837,244560,60,4076,1,1967-07-19,0,12006,7,109164,63.6,8757,96,0.57,3.665,259,2341.5,0.0214493789161262,0,15757.722747156,71512.5
29,5861,51408,24,2142,1,1949-07-24,1,0,8,45714,55.6,8843,113,0.78,3.21,70,853,0.0186594916218226,0,27533.4936541272,136187.2
74,5876,221280,48,4610,1,1968-03-28,1,7802,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0,18388.5280031,105044.8
17,5877,97224,24,4051,1,1951-04-07,0,3716,6,74062,61.4,8114,119,0.24,2.5,178,1092,0.0147444033377441,0,7476.93779226286,42393
39,5880,73836,36,2051,1,1967-05-29,0,0,3,119895,89.9,10446,90,2.06,8.37,-204,4845,0.0404103590641812,0,32965.1457780967,128707.8
1,5882,87816,12,7318,1,1961-05-02,1,5005,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,6896.75358541,42642.2
62,5886,192744,36,5354,1,1964-03-14,1,0,7,145688,40.7,8544,109,0.57,1.575,187,2812.5,0.0193049530503542,0,28733.3431882516,128578.8
60,5887,192744,36,5354,1,1971-09-20,0,0,7,110643,51.9,8441,115,1.03,3.965,373,2065.5,0.0186681489113636,0,16917.1617941261,120808.1
73,5892,66480,24,2770,-1,1935-07-21,1,0,4,182027,56.4,8746,90,0.41,3.535,78,4394,0.0241392760414664,0,21490.6264629644,76651
24,5897,15192,24,633,1,1972-12-27,0,3195,8,122603,80,8991,128,0.62,1.7,75,5235.5,0.0427028702397168,0,7237.18098879355,47657.1
50,5900,135360,48,2820,1,1975-09-24,1,0,2,102609,52,8187,94,0.62,5.14,11,2128.5,0.0207437944039996,2,30587.6036432061,146279.5
57,5918,300204,36,8339,1,1964-03-13,1,5725,7,161954,48,8720,116,0.77,4.115,-78,3690,0.0227842473788854,0,11447.5474997358,57376.7
9,5922,20220,12,1685,1,1973-05-15,0,8723,1,81344,55.3,8899,149,0.58,3.68,-500,2737,0.0336472265932337,0,25420.7275660302,122406.7
27,5923,64656,48,1347,1,1947-03-19,1,0,8,67298,43.8,8561,110,0.64,0.97,98,1078,0.0160183066361556,0,11814.9711817702,44549
4,5938,402000,60,6700,1,1980-08-06,1,554,1,149893,67.4,9753,109,0.41,4.845,648,5568,0.0371464978351224,0,7900.83174172206,35450.8
2,5959,107640,24,4485,1,1959-11-22,0,3580,1,88884,46.7,8507,132,0.18,1.76,515,2416.5,0.027187120291616,0,22727.6702252298,107183.7
66,5970,465072,48,9689,1,1948-05-08,1,6084.61538461538,7,125832,48.3,8512,102,0.61,3.815,-144,2175,0.0172849513637231,0,13613.1005661918,79257.6
15,5980,21396,12,1783,1,1968-09-09,1,0,6,58796,51.9,9045,124,0.47,3.365,34,1862,0.0316688210082319,0,7990.97115123813,45848.9
52,5988,141648,24,5902,1,1952-07-17,1,0,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0,32279.9221627744,123110.1
47,5989,213300,36,5925,1,1964-04-22,1,4794,2,162580,72.8,9538,111,0.3,1.66,-669,5744.5,0.0353333743387871,0,7864.49589327442,42043.7
14,5997,117024,24,4876,1,1935-10-03,1,0,6,177686,74.8,10045,135,0.29,1.565,-309,6449.5,0.0362971759170672,0,19844.2475911528,76185.2
42,5999,98832,48,2059,1,1970-09-10,0,3938,2,95907,59.1,8388,87,0.53,2.675,10,1663,0.0173397145151032,0,12078.5510197319,62595.4
50,6004,143904,24,5996,1,1951-04-10,1,2687,2,102609,52,8187,94,0.62,5.14,11,2128.5,0.0207437944039996,0,23416.5632154416,133871.2
43,6006,359760,60,5996,1,1979-05-31,1,4710,2,161854,76.3,9425,125,0.78,2.11,-194,3988,0.0246394899106602,0,24143.8743968576,126907.6
54,6011,179328,48,3736,1,1973-11-21,1,4930,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0,14278.2257370368,81414.7
1,6012,258444,36,7179,1,1966-05-27,1,0,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,17230.1596177507,61190.4
20,6013,128988,36,3583,-1,1939-08-15,1,0,6,70646,58.4,8547,120,0.99,3.145,-21,1552.5,0.0219757664977493,0,17311.1197155447,78229
53,6015,110112,24,4588,1,1963-10-12,1,9292,7,107911,50.9,8240,99,1.03,3.045,53,1876.5,0.0173893300960977,0,28391.5690857361,134958.1
54,6019,11400,12,950,1,1980-04-30,0,1820,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0,6234.41540799534,39214.1
13,6027,61656,24,2569,-1,1953-12-25,0,0,1,53921,41.3,8598,123,0.49,3.015,278,1736,0.0321952486044398,0,24849.149080235,88856.9
1,6038,323472,48,6739,1,1940-10-15,0,3008,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,26516.4280016284,119734.1
58,6043,20352,48,424,1,1948-03-05,0,4208,7,109164,63.6,8757,96,0.57,3.665,259,2341.5,0.0214493789161262,0,9092.64521654937,44027.9
1,6063,320976,48,6687,-1,1936-08-09,1,0,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,27435.7031200293,129775
55,6064,14628,12,1219,1,1949-03-08,0,2,7,157042,33.9,8743,111,0.55,2.155,235,3776.5,0.0240477069828454,0,9015.76816505543,51984.7
77,6066,173808,24,7242,1,1957-01-27,0,0,4,148545,53.5,8909,113,1.55,4.785,130,3525,0.0237301827728971,0,24967.3908398702,133416.6
72,6072,193968,36,5388,1,1972-12-03,1,0,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0,30034.3134358623,119767.3
64,6073,276300,60,4605,1,1976-07-06,1,3950,7,197099,74.7,9624,145,0.71,1.955,-219,4374.5,0.0221944302101989,0,6720.21750579642,40255
44,6077,79608,24,3317,1,1970-04-28,1,0,2,105606,53,8254,97,0.97,3.275,159,2245.5,0.0212629964206579,0,24870.2329276802,125025.7
40,6087,300660,60,5011,1,1950-01-07,1,5791,3,128118,85.3,9317,97,0.58,6.78,-77,6910.5,0.0539385566430946,0,30520.9608072814,134375.2
44,6103,149340,60,2489,1,1963-02-01,1,8754,2,105606,53,8254,97,0.97,3.275,159,2245.5,0.0212629964206579,0,10432.3446424138,52714
66,6109,368880,60,6148,1,1974-08-04,1,832,7,125832,48.3,8512,102,0.61,3.815,-144,2175,0.0172849513637231,0,28681.8083833356,149962.3
24,6111,174744,24,7281,-1,1948-08-12,0,4650,8,122603,80,8991,128,0.62,1.7,75,5235.5,0.0427028702397168,0,28302.6531429868,104628
5,6112,174744,24,7281,-1,1978-11-21,0,8110,1,95616,51.4,9307,118,0.58,4.14,424,2828,0.029576639892905,0,23430.5219183994,98028.6
1,6120,209184,48,4358,1,1953-06-18,1,0,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,19403.3349506139,109583.8
43,6130,32640,48,680,1,1942-10-15,1,3114,2,161854,76.3,9425,125,0.78,2.11,-194,3988,0.0246394899106602,0,7545.46631844196,42906
13,6137,44628,12,3719,1,1943-11-26,1,11878,1,53921,41.3,8598,123,0.49,3.015,278,1736,0.0321952486044398,0,22661.8837804567,111789.5
15,6144,44376,12,3698,1,1962-05-23,1,6049,6,58796,51.9,9045,124,0.47,3.365,34,1862,0.0316688210082319,0,28278.2450646163,123290
57,6150,83016,12,6918,1,1979-03-26,1,6327,7,161954,48,8720,116,0.77,4.115,-78,3690,0.0227842473788854,0,25921.0441064247,135736.6
61,6151,225420,60,3757,1,1948-08-03,0,0,7,117897,53.8,8814,107,0.98,5.25,-53,2085.5,0.0176891693596953,0,9614.3623318295,53071.6
5,6153,285600,60,4760,1,1980-12-07,0,0,1,95616,51.4,9307,118,0.58,4.14,424,2828,0.029576639892905,0,26473.4218237354,124977.1
10,6157,98592,24,4108,1,1963-12-24,0,10530,1,92084,46.7,10124,141,-0.02,0.55,506,4063,0.0441227574822988,0,19656.2943813719,77813.7
42,6169,103680,60,1728,-1,1971-06-24,1,0,2,95907,59.1,8388,87,0.53,2.675,10,1663,0.0173397145151032,0,9371.38757971168,46020.1
52,6175,290700,60,4845,-1,1959-02-27,0,0,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0,31590.3305958896,132451.5
74,6178,232560,48,4845,1,1970-01-29,0,0,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0,26204.0306754661,102065.9
1,6185,31176,24,1299,1,1968-01-29,1,1413,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,15340.9509716157,65069.6
70,6190,123600,60,2060,1,1967-06-30,1,0,4,285387,89.9,10177,81,1.12,7.19,230,9993,0.0350156103816922,0,23277.8730933322,104955.7
3,6202,65184,12,5432,1,1957-09-29,1,0,1,75232,41.7,8980,111,0.26,2.08,-11,2818.5,0.0374641110165887,0,18172.7682504688,101510.3
15,6210,87216,48,1817,-1,1964-05-13,1,5050,6,58796,51.9,9045,124,0.47,3.365,34,1862,0.0316688210082319,0,8425.33267236824,41210
50,6216,141240,24,5885,1,1962-09-11,1,3028,2,102609,52,8187,94,0.62,5.14,11,2128.5,0.0207437944039996,0,19476.2939912246,106784.1
57,6223,61056,48,1272,1,1957-09-06,0,1978,7,161954,48,8720,116,0.77,4.115,-78,3690,0.0227842473788854,0,9064.78033824496,54916
47,6227,28248,24,1177,1,1970-02-10,0,0,2,162580,72.8,9538,111,0.3,1.66,-669,5744.5,0.0353333743387871,0,11726.6176071652,69493
77,6228,464520,60,7742,-1,1940-12-02,0,0,4,148545,53.5,8909,113,1.55,4.785,130,3525,0.0237301827728971,0,27848.6867075738,125743.1
1,6229,11736,24,489,1,1938-09-16,1,2635,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,11703.0397710468,69726.8
56,6232,276660,36,7685,-1,1949-05-18,1,3128.57142857143,7,124605,46,8772,126,0.29,4.835,304,3006,0.0241242325749368,0,6029.33831266494,32220.4
1,6244,270648,36,7518,-1,1937-11-04,1,5700,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0,29717.3445728698,134301.4
74,6253,59760,24,2490,1,1958-11-26,1,7847,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0,12827.1939141715,69343.1
74,6272,398640,60,6644,1,1960-02-09,0,0,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0,21947.8810920456,121289.5
38,6279,87360,24,3640,1,1962-07-10,1,0,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0,13552.4494898524,68974.6
64,6283,85632,48,1784,1,1949-04-07,0,0,7,197099,74.7,9624,145,0.71,1.955,-219,4374.5,0.0221944302101989,0,26945.9103806775,155704.1
26,6294,79920,60,1332,1,1953-04-05,1,586,8,170449,100,10787,131,0.45,2.865,220,6151,0.0360870406983907,0,11483.0132846738,73499.5
3,6296,270384,48,5633,1,1962-04-07,1,13076,1,75232,41.7,8980,111,0.26,2.08,-11,2818.5,0.0374641110165887,0,18202.5397930386,90594.4
12,6297,17508,12,1459,1,1946-04-01,1,0,1,107870,58,8754,137,0.48,4.07,64,3836,0.0355613238157041,0,9324.20998158318,53532.3
