"account_id","Id","amount","duration","payments","Predicted","client_id","birth_number","district_id","gender","household_amount"
2824,5549,50460,60,841,1,3414,1947-10-17,11,0,7289
2912,5563,380160,60,6336,1,3519,1949-12-15,74,1,0
2933,5568,272520,60,4542,1,3542,1939-09-02,10,1,5907
2962,5576,31248,12,2604,1,3576,1939-03-15,1,0,0
2994,5586,48744,36,1354,1,3616,1964-04-14,77,0,0
3021,5591,155616,48,3242,1,3649,1959-10-25,10,0,0
3037,5593,277884,36,7719,-1,3670,1980-09-17,44,0,6276.92307692308
3050,5595,82896,12,6908,1,3687,1972-02-06,49,1,9716
3064,5599,15420,12,1285,1,3705,1965-06-04,1,0,1455
3084,5606,253512,36,7042,-1,3730,1945-08-07,59,0,9900
3112,5610,123216,48,2567,1,3763,1977-08-12,38,0,1468
3115,5611,321180,60,5353,1,3767,1936-09-07,14,1,14723
3166,5624,177744,48,3703,-1,3829,1972-03-13,59,1,0
3189,5625,222180,60,3703,-1,3855,1939-03-20,29,1,0
3230,5635,77184,36,2144,1,3907,1954-12-09,1,0,0
3354,5657,4980,12,415,1,4056,1952-07-26,63,0,489
3489,5693,44088,24,1837,1,4217,1951-06-25,9,0,3373
3608,5706,161496,36,4486,1,4352,1971-07-24,72,1,3124
3629,5713,158760,60,2646,1,4377,1978-01-31,48,1,1894
3674,5723,23628,12,1969,1,4428,1954-03-09,38,1,9503
3678,5724,316140,60,5269,-1,4433,1968-02-22,1,1,5827.77777777778
3679,5725,444864,48,9268,1,4434,1964-03-29,64,1,3869
3747,5739,76380,12,6365,1,4520,1957-06-28,1,0,2389
3752,5740,18564,12,1547,1,4527,1963-02-04,1,0,0
3754,5741,68544,24,2856,1,4529,1976-09-16,37,1,3976
3804,5750,63252,12,5271,1,4584,1949-06-24,7,0,643
3834,5754,23052,12,1921,1,4620,1940-11-01,54,0,3114
4079,5804,158976,48,3312,1,4916,1939-01-09,52,1,5009
4081,5805,137904,24,5746,-1,4918,1968-05-06,11,1,0
4259,5836,79632,24,3318,1,5133,1959-08-10,66,0,9516
4260,5837,244560,60,4076,1,5134,1967-07-19,58,0,12006
4337,5861,51408,24,2142,1,5224,1949-07-24,29,1,0
4413,5876,221280,48,4610,1,5318,1968-03-28,74,1,7802
4414,5877,97224,24,4051,1,5320,1951-04-07,17,0,3716
4423,5880,73836,36,2051,1,5333,1967-05-29,39,0,0
4427,5882,87816,12,7318,1,5337,1961-05-02,1,1,5005
4447,5886,192744,36,5354,1,5364,1964-03-14,62,1,0
4448,5887,192744,36,5354,1,5366,1971-09-20,60,0,0
4462,5892,66480,24,2770,-1,5384,1935-07-21,73,1,0
4476,5897,15192,24,633,1,5399,1972-12-27,24,0,3195
4503,5900,135360,48,2820,1,5433,1975-09-24,50,1,0
4576,5918,300204,36,8339,1,5517,1964-03-13,57,1,5725
4580,5922,20220,12,1685,1,5521,1973-05-15,9,0,8723
4585,5923,64656,48,1347,1,5526,1947-03-19,27,1,0
4650,5938,402000,60,6700,1,5606,1980-08-06,4,1,554
4727,5959,107640,24,4485,1,5701,1959-11-22,2,0,3580
4774,5970,465072,48,9689,1,5760,1948-05-08,66,1,6084.61538461538
4825,5980,21396,12,1783,1,5826,1968-09-09,15,1,0
4851,5988,141648,24,5902,1,5858,1952-07-17,52,1,0
4852,5989,213300,36,5925,1,5860,1964-04-22,47,1,4794
4894,5997,117024,24,4876,1,5911,1935-10-03,14,1,0
4907,5999,98832,48,2059,1,5928,1970-09-10,42,0,3938
4937,6004,143904,24,5996,1,5965,1951-04-10,50,1,2687
4948,6006,359760,60,5996,1,5977,1979-05-31,43,1,4710
4981,6011,179328,48,3736,1,6015,1973-11-21,54,1,4930
4994,6012,258444,36,7179,1,6033,1966-05-27,1,1,0
4995,6013,128988,36,3583,-1,6034,1939-08-15,20,1,0
5001,6015,110112,24,4588,1,6042,1963-10-12,53,1,9292
5033,6019,11400,12,950,1,6077,1980-04-30,54,0,1820
5066,6027,61656,24,2569,-1,6115,1953-12-25,13,0,0
5120,6038,323472,48,6739,1,6178,1940-10-15,1,0,3008
5126,6043,20352,48,424,1,6185,1948-03-05,58,0,4208
5213,6063,320976,48,6687,-1,6299,1936-08-09,1,1,0
5215,6064,14628,12,1219,1,6301,1949-03-08,55,0,2
5228,6066,173808,24,7242,1,6317,1957-01-27,77,0,0
5256,6072,193968,36,5388,1,6349,1972-12-03,72,1,0
5263,6073,276300,60,4605,1,6359,1976-07-06,64,1,3950
5270,6077,79608,24,3317,1,6367,1970-04-28,44,1,0
5313,6087,300660,60,5011,1,6417,1950-01-07,40,1,5791
5385,6103,149340,60,2489,1,6499,1963-02-01,44,1,8754
5422,6109,368880,60,6148,1,6544,1974-08-04,66,1,832
5428,6111,174744,24,7281,-1,6551,1948-08-12,24,0,4650
5442,6112,174744,24,7281,-1,6567,1978-11-21,5,0,8110
5481,6120,209184,48,4358,1,6616,1953-06-18,1,1,0
5541,6130,32640,48,680,1,6691,1942-10-15,43,1,3114
5574,6137,44628,12,3719,1,6731,1943-11-26,13,1,11878
5593,6144,44376,12,3698,1,6753,1962-05-23,15,1,6049
5622,6150,83016,12,6918,1,6789,1979-03-26,57,1,6327
5628,6151,225420,60,3757,1,6798,1948-08-03,61,0,0
5632,6153,285600,60,4760,1,6803,1980-12-07,5,0,0
5650,6157,98592,24,4108,1,6829,1963-12-24,10,0,10530
5700,6169,103680,60,1728,-1,6895,1971-06-24,42,1,0
5735,6175,290700,60,4845,-1,6936,1959-02-27,52,0,0
5742,6178,232560,48,4845,1,6946,1970-01-29,74,0,0
5774,6185,31176,24,1299,1,6987,1968-01-29,1,1,1413
5794,6190,123600,60,2060,1,7010,1967-06-30,70,1,0
5891,6202,65184,12,5432,1,7127,1957-09-29,3,1,0
5927,6210,87216,48,1817,-1,7166,1964-05-13,15,1,5050
5952,6216,141240,24,5885,1,7195,1962-09-11,50,1,3028
5991,6223,61056,48,1272,1,7241,1957-09-06,57,0,1978
6030,6227,28248,24,1177,1,7286,1970-02-10,47,0,0
6034,6228,464520,60,7742,-1,7291,1940-12-02,77,0,0
6040,6229,11736,24,489,1,7299,1938-09-16,1,1,2635
6051,6232,276660,36,7685,-1,7311,1949-05-18,56,1,3128.57142857143
6118,6244,270648,36,7518,-1,7390,1937-11-04,1,1,5700
6148,6253,59760,24,2490,1,7422,1958-11-26,74,1,7847
6226,6272,398640,60,6644,1,7521,1960-02-09,74,0,0
6273,6279,87360,24,3640,1,7576,1962-07-10,38,1,0
6289,6283,85632,48,1784,1,7594,1949-04-07,64,0,0
6353,6294,79920,60,1332,1,7672,1953-04-05,26,1,586
6358,6296,270384,48,5633,1,7678,1962-04-07,3,1,13076
6363,6297,17508,12,1459,1,7683,1946-04-01,12,1,0
6397,6302,181020,60,3017,1,7723,1966-06-14,48,0,0
6400,6303,72408,24,3017,-1,7727,1958-06-13,31,0,0
6425,6306,36684,12,3057,1,7753,1978-09-23,70,0,5731.25
6434,6309,110136,24,4589,1,7765,1958-02-24,1,0,4891
6472,6315,43164,12,3597,1,7814,1976-01-06,61,0,0
6473,6316,76908,12,6409,-1,7815,1946-01-19,4,0,0
6555,6336,212400,36,5900,1,7914,1966-10-24,38,0,0
6609,6342,60156,36,1671,-1,7980,1976-08-08,16,1,3881
6688,6354,22968,36,638,1,8076,1950-07-27,16,0,0
6701,6356,95400,36,2650,1,8091,1971-02-10,5,1,0
6715,6358,137880,60,2298,-1,8105,1963-03-12,72,1,0
6738,6362,37908,12,3159,1,8130,1976-05-08,62,0,0
6924,6403,194880,48,4060,1,8359,1979-12-06,74,1,4585
6930,6407,25944,24,1081,1,8366,1960-05-21,41,0,0
6985,6421,96768,36,2688,1,8432,1968-01-06,38,0,13167
7123,6456,47016,12,3918,1,8598,1957-12-31,46,0,14581
7133,6460,48672,36,1352,1,8610,1948-05-02,55,0,2683
7136,6461,74124,36,2059,1,8615,1939-04-13,12,0,1080
7184,6471,155640,24,6485,1,8670,1943-01-07,5,0,3434
7190,6474,63360,60,1056,1,8677,1955-08-14,49,1,5394
7401,6499,80952,24,3373,1,9173,1945-02-04,1,1,7266
7418,6501,30276,12,2523,-1,9196,1939-04-23,21,0,14900
7445,6509,55368,24,2307,1,9226,1939-12-25,64,0,0
7454,6512,63312,48,1319,1,9236,1956-05-07,31,0,2306
7485,6520,91200,24,3800,1,9273,1955-08-26,39,0,10279
7523,6526,288468,36,8013,1,9316,1958-10-26,63,0,0
7546,6535,41952,12,3496,1,9346,1972-12-10,43,1,3861
7562,6540,309600,48,6450,1,9366,1975-06-26,72,1,0
7606,6545,191880,60,3198,1,9417,1949-03-08,21,1,4268
7607,6546,31728,24,1322,1,9418,1950-04-10,1,1,6020
7614,6550,320592,48,6679,1,9427,1970-11-09,62,0,0
7753,6577,51696,24,2154,1,9593,1968-01-28,74,0,0
7765,6578,27984,12,2332,1,9606,1949-02-16,52,1,8217
7769,6580,196080,48,4085,1,9611,1958-05-27,23,1,0
7795,6585,372120,60,6202,1,9641,1945-01-26,64,1,0
7815,6589,189696,24,7904,1,9663,1945-09-24,19,1,1475
7819,6591,20832,48,434,1,9670,1948-05-04,38,1,1953
7824,6594,189696,24,7904,-1,9675,1970-02-19,60,0,0
7844,6596,91584,24,3816,1,9702,1951-11-16,33,0,0
7857,6598,68112,12,5676,1,9715,1977-11-30,35,0,8157
7859,6599,72120,12,6010,1,9717,1952-11-10,52,0,0
7861,6600,21852,36,607,1,9721,1954-12-05,34,1,0
7926,6613,84120,24,3505,1,9798,1950-03-02,69,0,0
7965,6624,71460,12,5955,1,9844,1945-08-03,55,1,7268
8027,6642,77640,12,6470,1,9915,1967-07-10,27,1,0
8039,6644,93600,24,3900,1,9930,1972-06-23,9,1,1074
8041,6645,140400,36,3900,1,9933,1941-10-15,74,1,0
8051,6647,208320,48,4340,1,9945,1968-04-14,31,0,0
8073,6650,49320,12,4110,-1,9973,1945-10-03,24,0,695
8092,6659,56100,60,935,1,9995,1958-07-07,54,1,6216
8127,6667,155880,24,6495,1,10040,1968-10-30,37,0,8305
8129,6668,74736,36,2076,1,10043,1965-10-29,45,1,6184
8159,6676,29784,24,1241,1,10076,1969-12-25,26,0,0
8173,6678,80340,12,6695,1,10095,1976-02-06,1,0,0
8260,6686,224604,36,6239,1,10198,1976-05-24,31,1,0
8261,6687,87840,24,3660,1,10200,1980-02-16,13,0,0
8316,6694,134784,24,5616,1,10269,1940-05-11,70,0,0
8321,6696,89040,60,1484,1,10275,1970-01-25,77,0,7041
8327,6698,247728,48,5161,1,10282,1979-06-19,1,1,4104
8330,6699,7656,24,319,1,10287,1962-09-03,48,0,3708
8377,6704,417060,60,6951,1,10350,1961-09-14,29,0,1172
8405,6712,266220,60,4437,1,10382,1965-02-17,20,0,410
8411,6715,220620,60,3677,1,10389,1943-08-15,20,0,5812
8475,6721,21072,24,878,1,10459,1964-08-09,17,0,0
8489,6725,265320,36,7370,1,10475,1948-08-28,51,0,3835
8492,6726,85860,60,1431,1,10479,1955-10-20,2,0,4403
8519,6729,74688,12,6224,1,10510,1945-01-26,23,0,13711
8533,6732,174048,48,3626,1,10528,1952-02-16,47,0,0
8547,6734,173016,36,4806,1,10543,1945-02-23,14,0,0
8558,6736,288360,60,4806,1,10555,1935-12-15,1,1,0
8564,6737,76680,24,3195,1,10563,1949-01-07,68,1,7170
8566,6738,230220,36,6395,-1,10566,1942-11-09,74,0,555
8625,6745,47304,24,1971,1,10636,1971-08-03,64,1,8151
8680,6751,85716,36,2381,1,10702,1938-05-03,17,1,0
8776,6764,33984,48,708,1,10818,1972-08-04,64,1,0
8899,6785,125340,60,2089,1,10963,1944-06-15,1,1,3713
8972,6805,45024,48,938,1,11050,1957-05-04,70,0,4719
8982,6808,227880,36,6330,1,11063,1955-11-04,64,0,0
9006,6810,186384,48,3883,1,11093,1959-01-29,40,1,4541
9017,6816,100224,48,2088,-1,11105,1957-02-01,70,0,0
9024,6817,70656,48,1472,1,11114,1952-07-26,1,1,6270
9030,6818,155616,48,3242,1,11121,1971-04-10,72,0,2587
9034,6820,38148,12,3179,1,11126,1965-01-22,1,0,4697
9093,6836,189300,60,3155,1,11195,1953-12-05,58,1,1311
9104,6841,172080,48,3585,1,11208,1957-03-05,10,0,0
9188,6863,127080,60,2118,1,11314,1936-06-02,45,1,7936
9199,6865,29448,12,2454,-1,11327,1947-10-21,72,1,0
9236,6876,86616,12,7218,1,11372,1961-09-28,11,1,0
9265,6888,39576,12,3298,1,11409,1980-05-02,32,0,9493
9307,6895,41904,12,3492,1,11461,1974-07-08,70,1,4654
9337,6903,52128,24,2172,1,11497,1959-07-17,11,0,0
9403,6919,120888,36,3358,1,11574,1944-04-20,1,0,3225
9422,6921,86184,12,7182,1,11596,1940-12-04,70,0,107
9472,6929,36396,12,3033,1,11662,1972-04-03,76,1,5119
9493,6933,188688,48,3931,1,11685,1965-07-23,64,0,6803
9510,6940,228276,36,6341,1,11709,1961-08-03,1,1,0
9548,6944,46176,48,962,1,11754,1966-11-03,62,1,9613
9583,6949,104712,24,4363,1,11794,1970-10-07,31,0,13386
9591,6950,104712,24,4363,1,11804,1944-12-12,74,1,4146
9627,6955,244368,48,5091,1,11851,1970-04-02,65,1,0
9640,6960,76416,24,3184,1,11866,1937-09-02,1,1,10597
9645,6961,176148,36,4893,1,11873,1963-11-20,38,0,0
9656,6965,139536,24,5814,1,11886,1941-09-13,61,0,10721
9731,6985,113796,36,3161,1,11978,1971-10-09,54,1,4967
9750,6986,151728,48,3161,-1,12003,1976-06-23,74,1,0
9790,6992,133968,48,2791,1,12050,1943-05-30,52,1,9210
9814,6995,96168,12,8014,1,12079,1972-08-12,64,0,0
9828,6996,126600,24,5275,1,12095,1939-02-27,47,1,0
9833,6998,97632,12,8136,1,12102,1968-09-07,21,0,6531
9869,7004,331560,60,5526,1,12144,1980-11-23,2,1,5887
9897,7008,36168,12,3014,1,12181,1961-08-19,1,1,1507
9928,7013,89340,60,1489,1,12220,1971-11-12,60,0,5016
10001,7034,19044,36,529,1,12303,1974-04-05,24,0,0
10019,7036,194940,36,5415,1,12325,1964-10-30,8,1,0
10079,7055,167100,60,2785,1,12396,1970-01-17,62,0,0
10093,7057,231696,36,6436,1,12416,1973-05-30,1,1,2762
10105,7061,121896,24,5079,1,12432,1965-03-07,55,1,0
10131,7066,215388,36,5983,-1,12464,1959-12-17,39,1,0
10266,7097,75624,24,3151,-1,12625,1958-12-07,54,1,13500
10297,7101,421008,48,8771,1,12662,1953-06-01,14,1,9902
10320,7104,259740,60,4329,1,12695,1979-03-16,68,1,12414
10364,7121,21924,36,609,1,12754,1960-08-20,55,1,6262
10411,7130,123408,24,5142,1,12810,1964-10-14,39,1,3020
10436,7136,54396,36,1511,1,12840,1939-07-27,60,1,0
10439,7137,151560,24,6315,1,12843,1953-05-05,66,1,10134
10440,7138,60000,60,1000,1,12844,1946-10-15,45,1,2960
10451,7142,482940,60,8049,-1,12859,1976-05-21,1,0,2439
10520,7154,417600,60,6960,1,12943,1970-10-12,55,1,0
10630,7166,198240,24,8260,1,13071,1956-02-18,41,1,7303
10663,7176,260028,36,7223,1,13113,1976-11-25,11,1,4782
10728,7189,154656,48,3222,1,13190,1956-11-28,71,1,3867
10738,7192,115992,36,3222,1,13201,1937-05-17,31,1,186
10762,7194,68832,36,1912,1,13231,1959-07-01,1,1,5435
10788,7198,45768,12,3814,1,13260,1977-05-27,72,0,0
10884,7213,113544,36,3154,1,13380,1942-09-18,65,1,1326
10911,7220,131292,36,3647,1,13412,1954-03-20,1,1,7312
10940,7226,197748,36,5493,1,13447,1970-05-05,13,0,0
10942,7227,314520,60,5242,1,13451,1955-11-18,44,0,10472
10963,7233,115812,36,3217,1,13480,1953-06-01,16,1,0
10973,7235,154416,48,3217,1,13490,1969-05-25,18,0,0
11013,7240,274740,60,4579,1,13539,1978-09-07,63,1,756
11021,7241,168984,24,7041,-1,13548,1976-03-18,1,1,0
11042,7243,217152,36,6032,1,13576,1974-07-07,72,1,8436
11054,7246,148920,60,2482,1,13590,1977-08-03,59,1,11506
11065,7249,69360,48,1445,1,13603,1941-07-28,46,1,0
11111,7259,108144,36,3004,1,13657,1963-05-12,59,0,4736
11135,7262,182628,36,5073,1,13687,1959-05-23,75,1,0
11138,7263,89880,24,3745,1,13690,1963-05-16,70,1,0
11186,7271,392460,60,6541,1,13750,1980-11-13,12,0,9810
11265,7284,52788,12,4399,1,13845,1973-02-16,15,1,506
11349,7304,419880,60,6998,1,13955,1945-10-30,1,0,10886
11359,7305,54024,12,4502,1,13968,1968-04-13,61,1,4518
11362,7308,129408,24,5392,1,13971,1962-10-19,67,0,4780
