"district_id","loan_id","date","amount","duration","payments","status","birth_number","gender","household_amount","region","no. of inhabitants","no. of municipalities with inhabitants < 499","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants 2000-9999","no. of municipalities with inhabitants >10000","no. of cities","ratio of urban inhabitants","average salary","unemploymant rate '95","unemploymant rate '96","no. of enterpreneurs per 1000 inhabitants","no. of commited crimes '95","no. of commited crimes '96","type_card","balance_sd","balance_diff","frequency"
16,5130,940511,24312,12,2026,1,551119,0,0,"south Bohemia",93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,"none",7695.86280086246,47177.9,"monthly issuance"
40,5131,950108,48624,24,2026,1,610930,1,4514,"north Bohemia",128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,"none",25825.8581816605,133987.4,"monthly issuance"
5,5132,950217,538500,60,8975,1,600628,1,4605,"central Bohemia",95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,"none",13408.0203646534,69575.9,"monthly issuance"
72,5136,960728,187104,24,7796,1,770510,0,0,"north Moravia",226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,"none",34581.4013483708,136893.5,"monthly issuance"
1,5138,950530,87216,48,1817,1,540316,0,382,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",6554.7605128343,43087.3,"monthly issuance"
72,5145,950916,309552,48,6449,1,350129,1,14291,"north Moravia",226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,"none",21979.384405419,121013.2,"monthly issuance"
37,5148,960529,284280,60,4738,1,580915,0,0,"north Bohemia",114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,"none",20167.8024295163,109061.9,"monthly issuance"
4,5151,950524,189060,60,3151,1,581230,0,5940,"central Bohemia",149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,"none",24683.0632141581,101593.6,"issuance after transaction"
45,5160,951218,204000,60,3400,1,440506,1,7085,"east Bohemia",77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,"none",12656.7828254321,67772.8,"monthly issuance"
65,5161,941028,98184,24,4091,1,450612,0,0,"south Moravia",114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,"none",19672.650902027,68456.1,"monthly issuance"
52,5170,940120,253200,60,4220,1,500313,0,0,"east Bohemia",139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,"none",26552.7395045982,103617.9,"weekly issuance"
20,5176,941112,192552,24,8023,-1,631231,0,0,"south Bohemia",70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,"none",13015.0266748654,48763,"weekly issuance"
11,5189,940207,149040,48,3105,1,681220,0,4397,"central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"none",12658.2467643,62241.6,"monthly issuance"
65,5208,950316,99696,48,2077,-1,710625,0,0,"south Moravia",114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,"none",28762.2069360507,128659.5,"monthly issuance"
62,5209,961125,182640,48,3805,1,420419,0,61,"south Moravia",145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,"none",14199.3815228476,63811.8,"monthly issuance"
38,5212,950529,71064,36,1974,1,461017,0,1178,"north Bohemia",85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,"none",9923.17154112448,54673.3,"monthly issuance"
19,5237,950829,45336,24,1889,1,570429,1,5930,"south Bohemia",51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,"none",11574.1022400041,70686,"monthly issuance"
31,5269,941119,164052,36,4557,-1,750912,0,0,"west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"none",30609.3898880806,114610.3,"issuance after transaction"
69,5282,960824,388512,48,8094,-1,690313,0,0,"north Moravia",42821,4,13,5,1,3,48.4,8173,7.01,7.01,124,1358,1358,"none",21196.6821317327,87582.3,"issuance after transaction"
31,5285,940206,78936,12,6578,1,570122,0,2359,"west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"none",7684.86970531107,39660.3,"monthly issuance"
68,5301,960706,141948,36,3943,1,500926,0,0,"north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,"none",17970.9789771546,62463.1,"monthly issuance"
28,5310,950428,248148,36,6893,1,400724,0,853,"west Bohemia",72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,"none",10761.578895609,66886,"monthly issuance"
28,5311,960615,30060,60,501,1,510906,1,4353,"west Bohemia",72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,"classic",11270.5037458701,68882.9,"monthly issuance"
31,5312,960313,202788,36,5633,1,530720,0,11994,"west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"none",23297.6635746445,138780.9,"weekly issuance"
30,5314,930705,96396,12,8033,-1,470722,0,0,"west Bohemia",94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,"none",8330.8663014919,19000,"weekly issuance"
46,5316,930711,165960,36,4610,1,680722,1,4167,"east Bohemia",112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,"none",29122.0594539456,119812.8,"monthly issuance"
68,5319,940623,239460,60,3991,1,420913,0,4206,"north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,"none",16062.5321384148,74108.8,"monthly issuance"
14,5325,930803,105804,36,2939,1,400420,0,6994,"south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,"none",14151.2604430371,64898.5,"monthly issuance"
19,5329,961016,396120,60,6602,1,500102,0,0,"south Bohemia",51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,"none",20275.1419809661,104359.1,"weekly issuance"
32,5337,960731,162468,36,4513,1,570823,0,0,"north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,"none",24180.8889239258,83162.8,"monthly issuance"
26,5350,960421,249312,48,5194,1,550521,1,14164,"west Bohemia",170449,0,0,0,1,1,100,10787,2.64,3.09,131,6041,6261,"none",23021.0410612378,87697.4,"weekly issuance"
1,5351,941204,205200,36,5700,1,630125,0,7001,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",17204.0709095607,93028.5,"weekly issuance"
68,5352,950415,68400,12,5700,-1,760609,0,0,"north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,"none",12297.1550986777,50442.2,"monthly issuance"
70,5366,961029,86184,12,7182,1,401204,0,107,"north Moravia",285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,"none",25642.0771571919,127846,"monthly issuance"
1,5375,961003,101520,12,8460,1,761012,0,3468,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",10352.391968575,42818.7,"monthly issuance"
1,5385,960909,71460,36,1985,1,800831,0,7264,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",16380.594606473,75703.1,"monthly issuance"
31,5388,961128,61560,12,5130,1,430104,1,1737,"west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"none",17762.2246702773,73359.9,"weekly issuance"
16,5390,941030,170256,24,7094,1,650716,0,5922,"south Bohemia",93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,"none",13589.3839888406,79669.8,"monthly issuance"
67,5395,940730,299088,36,8308,-1,661210,0,1085,"north Moravia",106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,"none",33855.6980257672,193409.9,"monthly issuance"
19,5409,951118,182040,60,3034,1,510324,0,0,"south Bohemia",51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,"none",21927.6795286742,109847.5,"monthly issuance"
31,5413,951212,92976,24,3874,1,701007,0,13386,"west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"none",26490.3161352521,122042.1,"weekly issuance"
34,5414,950329,185952,48,3874,1,450222,1,4625,"north Bohemia",125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,"none",31588.3799619124,144618.2,"monthly issuance"
73,5415,960926,139464,36,3874,-1,580812,1,0,"north Moravia",182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,"none",12989.7812150903,64762.8,"monthly issuance"
29,5418,950116,347952,48,7249,1,641030,0,0,"west Bohemia",45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,"none",23422.0265006617,122713.2,"monthly issuance"
1,5429,960718,20196,36,561,1,710225,1,5742,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",15288.6889647388,76958.8,"monthly issuance"
33,5445,960629,46320,24,1930,1,790214,1,3359,"north Bohemia",133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,"none",20752.0889350489,118992.5,"monthly issuance"
68,5449,951104,99336,24,4139,1,800709,0,4723,"north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,"none",7892.72182874921,46268,"monthly issuance"
52,5450,941211,199680,60,3328,1,490523,1,3612,"east Bohemia",139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,"none",11909.1687727066,61738.8,"monthly issuance"
70,5452,960429,49440,60,824,1,661006,0,5581,"north Moravia",285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,"none",12804.4639168701,74119.8,"monthly issuance"
28,5453,950401,156672,36,4352,1,560425,0,4613,"west Bohemia",72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,"none",6686.14559025204,41376.9,"monthly issuance"
43,5464,950130,95808,12,7984,1,400907,1,0,"east Bohemia",161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,"none",24705.82136034,121552.2,"monthly issuance"
65,5470,960415,200976,48,4187,1,550220,1,9554,"south Moravia",114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,"none",18916.9395762718,82953.5,"monthly issuance"
1,5479,940110,24516,12,2043,1,581007,1,0,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",29534.2181133033,125054.2,"monthly issuance"
51,5482,960112,165120,60,2752,1,500318,0,4982,"east Bohemia",121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,"none",6878.83656641474,36846.3,"monthly issuance"
64,5494,960613,360000,48,7500,1,730307,0,0,"south Moravia",197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,"none",26193.2113809294,125472,"issuance after transaction"
60,5495,960802,89340,60,1489,1,711112,0,5016,"south Moravia",110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,"none",10748.387757632,53520.1,"monthly issuance"
52,5519,940308,91632,12,7636,1,621228,0,3532,"east Bohemia",139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,"none",10641.4227535957,63877.8,"monthly issuance"
63,5523,931208,93888,36,2608,1,501020,0,0,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,"none",14598.865783435,51778.2,"issuance after transaction"
11,5533,940705,111384,24,4641,1,670210,1,6892,"central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"none",26285.8630675545,140886,"monthly issuance"
11,5549,940716,50460,60,841,1,471017,0,7289,"central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"none",10371.1237818631,51171.4,"monthly issuance"
74,5563,960229,380160,60,6336,1,491215,1,0,"north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"none",27227.8660788503,146275.1,"monthly issuance"
10,5568,940517,272520,60,4542,1,390902,1,5907,"central Bohemia",92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,"none",24196.754530887,120791.4,"monthly issuance"
1,5576,941221,31248,12,2604,1,390315,0,0,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",28994.6264318251,143715.3,"monthly issuance"
77,5586,960914,48744,36,1354,1,640414,0,0,"north Moravia",148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,"none",19512.7909722538,61991.3,"monthly issuance"
10,5591,961204,155616,48,3242,1,591025,0,0,"central Bohemia",92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,"none",13711.0944582933,61853.6,"monthly issuance"
44,5593,960418,277884,36,7719,-1,800917,0,6276.92307692308,"east Bohemia",105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,"none",28041.8750797263,128394.2,"monthly issuance"
49,5595,940902,82896,12,6908,1,720206,1,9716,"east Bohemia",75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,"classic",24685.921391444,106780.9,"monthly issuance"
1,5599,950321,15420,12,1285,1,650604,0,1455,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",7049.35098797991,40137.4,"monthly issuance"
59,5606,960828,253512,36,7042,-1,450807,0,9900,"south Moravia",108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,"none",24704.3850183754,110744.2,"weekly issuance"
38,5610,960224,123216,48,2567,1,770812,0,1468,"north Bohemia",85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,"none",28089.5246363499,137733.7,"monthly issuance"
14,5611,961115,321180,60,5353,1,360907,1,14723,"south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,"none",21716.7502502962,89557.3,"monthly issuance"
59,5624,950103,177744,48,3703,-1,720313,1,0,"south Moravia",108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,"none",21147.0807028478,92219,"monthly issuance"
29,5625,961215,222180,60,3703,-1,390320,1,0,"west Bohemia",45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,"none",26510.559286204,129859.1,"monthly issuance"
1,5635,961004,77184,36,2144,1,541209,0,0,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",30287.2146676703,142717.9,"monthly issuance"
63,5657,940705,4980,12,415,1,520726,0,489,"south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,"none",8705.18353992897,40306.2,"monthly issuance"
9,5693,950801,44088,24,1837,1,510625,0,3373,"central Bohemia",81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,"none",11906.808161813,54576.8,"monthly issuance"
72,5706,960524,161496,36,4486,1,710724,1,3124,"north Moravia",226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,"none",19260.5462439382,113365.5,"weekly issuance"
48,5713,950530,158760,60,2646,1,780131,1,1894,"east Bohemia",78955,50,24,8,1,9,59,9060,1.78,2.44,124,1655,1717,"none",8944.71531123884,58998.4,"monthly issuance"
38,5723,940910,23628,12,1969,1,540309,1,9503,"north Bohemia",85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,"none",27950.2106897095,139228.7,"monthly issuance"
1,5724,950205,316140,60,5269,-1,680222,1,5827.77777777778,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",6901.26079064652,38816.2,"monthly issuance"
64,5725,960723,444864,48,9268,1,640329,1,3869,"south Moravia",197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,"none",11798.8301963365,62103.5,"monthly issuance"
1,5739,950102,76380,12,6365,1,570628,0,2389,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",8289.78009371184,40603.3,"monthly issuance"
1,5740,950402,18564,12,1547,1,630204,0,0,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",14265.870341694,56298.4,"monthly issuance"
37,5741,961103,68544,24,2856,1,760916,1,3976,"north Bohemia",114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,"none",20196.0740707449,93307.7,"weekly issuance"
7,5750,960208,63252,12,5271,1,490624,0,643,"central Bohemia",94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,"none",18482.2989464827,73245.5,"monthly issuance"
54,5754,940928,23052,12,1921,1,401101,0,3114,"south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"none",8912.01935825443,53621.8,"monthly issuance"
52,5804,950405,158976,48,3312,1,390109,1,5009,"east Bohemia",139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,"none",23319.3381850464,129693.2,"monthly issuance"
11,5805,951128,137904,24,5746,-1,680506,1,0,"central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"none",11982.1017548871,42659.7,"monthly issuance"
66,5836,940827,79632,24,3318,1,590810,0,9516,"south Moravia",125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,"none",29061.5370551754,118473.5,"monthly issuance"
58,5837,940629,244560,60,4076,1,670719,0,12006,"south Moravia",109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,"none",15757.722747156,71512.5,"monthly issuance"
29,5861,941208,51408,24,2142,1,490724,1,0,"west Bohemia",45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,"none",27533.4936541272,136187.2,"monthly issuance"
74,5876,950208,221280,48,4610,1,680328,1,7802,"north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"none",18388.5280031,105044.8,"weekly issuance"
17,5877,950223,97224,24,4051,1,510407,0,3716,"south Bohemia",74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,"none",7476.93779226286,42393,"monthly issuance"
39,5880,951031,73836,36,2051,1,670529,0,0,"north Bohemia",119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,"none",32965.1457780967,128707.8,"monthly issuance"
1,5882,940926,87816,12,7318,1,610502,1,5005,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",6896.75358541,42642.2,"monthly issuance"
62,5886,961031,192744,36,5354,1,640314,1,0,"south Moravia",145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,"none",28733.3431882516,128578.8,"monthly issuance"
60,5887,941003,192744,36,5354,1,710920,0,0,"south Moravia",110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,"none",16917.1617941261,120808.1,"monthly issuance"
73,5892,960514,66480,24,2770,-1,350721,1,0,"north Moravia",182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,"none",21490.6264629644,76651,"weekly issuance"
24,5897,960925,15192,24,633,1,721227,0,3195,"west Bohemia",122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,"none",7237.18098879355,47657.1,"monthly issuance"
50,5900,960101,135360,48,2820,1,750924,1,0,"east Bohemia",102609,75,33,2,3,6,52,8187,4.83,5.45,94,2123,2134,"junior",30587.6036432061,146279.5,"monthly issuance"
57,5918,940604,300204,36,8339,1,640313,1,5725,"south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,"none",11447.5474997358,57376.7,"monthly issuance"
9,5922,950805,20220,12,1685,1,730515,0,8723,"central Bohemia",81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,"none",25420.7275660302,122406.7,"monthly issuance"
27,5923,961010,64656,48,1347,1,470319,1,0,"west Bohemia",67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,"none",11814.9711817702,44549,"monthly issuance"
4,5938,960825,402000,60,6700,1,800806,1,554,"central Bohemia",149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,"none",7900.83174172206,35450.8,"monthly issuance"
2,5959,950811,107640,24,4485,1,591122,0,3580,"central Bohemia",88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,"none",22727.6702252298,107183.7,"monthly issuance"
66,5970,950709,465072,48,9689,1,480508,1,6084.61538461538,"south Moravia",125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,"none",13613.1005661918,79257.6,"monthly issuance"
15,5980,950818,21396,12,1783,1,680909,1,0,"south Bohemia",58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,"none",7990.97115123813,45848.9,"monthly issuance"
52,5988,960822,141648,24,5902,1,520717,1,0,"east Bohemia",139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,"none",32279.9221627744,123110.1,"monthly issuance"
47,5989,960304,213300,36,5925,1,640422,1,4794,"east Bohemia",162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,"none",7864.49589327442,42043.7,"monthly issuance"
14,5997,931104,117024,24,4876,1,351003,1,0,"south Bohemia",177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,"none",19844.2475911528,76185.2,"monthly issuance"
42,5999,960103,98832,48,2059,1,700910,0,3938,"east Bohemia",95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,"none",12078.5510197319,62595.4,"monthly issuance"
50,6004,940723,143904,24,5996,1,510410,1,2687,"east Bohemia",102609,75,33,2,3,6,52,8187,4.83,5.45,94,2123,2134,"none",23416.5632154416,133871.2,"monthly issuance"
43,6006,961115,359760,60,5996,1,790531,1,4710,"east Bohemia",161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,"none",24143.8743968576,126907.6,"monthly issuance"
54,6011,961128,179328,48,3736,1,731121,1,4930,"south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"none",14278.2257370368,81414.7,"monthly issuance"
1,6012,960803,258444,36,7179,1,660527,1,0,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",17230.1596177507,61190.4,"weekly issuance"
20,6013,960203,128988,36,3583,-1,390815,1,0,"south Bohemia",70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,"none",17311.1197155447,78229,"weekly issuance"
53,6015,961109,110112,24,4588,1,631012,1,9292,"south Moravia",107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,"none",28391.5690857361,134958.1,"monthly issuance"
54,6019,960725,11400,12,950,1,800430,0,1820,"south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"none",6234.41540799534,39214.1,"monthly issuance"
13,6027,960210,61656,24,2569,-1,531225,0,0,"central Bohemia",53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,"none",24849.149080235,88856.9,"weekly issuance"
1,6038,940810,323472,48,6739,1,401015,0,3008,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",26516.4280016284,119734.1,"monthly issuance"
58,6043,960111,20352,48,424,1,480305,0,4208,"south Moravia",109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,"none",9092.64521654937,44027.9,"monthly issuance"
1,6063,960425,320976,48,6687,-1,360809,1,0,"Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"none",27435.7031200293,129775,"monthly issuance"
55,6064,940804,14628,12,1219,1,490308,0,2,"south Moravia",157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,"none",9015.76816505543,51984.7,"monthly issuance"
77,6066,940711,173808,24,7242,1,570127,0,0,"north Moravia",148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,"none",24967.3908398702,133416.6,"issuance after transaction"
72,6072,940510,193968,36,5388,1,721203,1,0,"north Moravia",226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,"none",30034.3134358623,119767.3,"issuance after transaction"
64,6073,961112,276300,60,4605,1,760706,1,3950,"south Moravia",197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,"none",6720.21750579642,40255,"monthly issuance"
44,6077,931122,79608,24,3317,1,700428,1,0,"east Bohemia",105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,"none",24870.2329276802,125025.7,"monthly issuance"
40,6087,940227,300660,60,5011,1,500107,1,5791,"north Bohemia",128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,"none",30520.9608072814,134375.2,"monthly issuance"
44,6103,940407,149340,60,2489,1,630201,1,8754,"east Bohemia",105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,"none",10432.3446424138,52714,"weekly issuance"
66,6109,960603,368880,60,6148,1,740804,1,832,"south Moravia",125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,"none",28681.8083833356,149962.3,"monthly issuance"
24,6111,930924,174744,24,7281,-1,480812,0,4650,"west Bohemia",122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,"none",28302.6531429868,104628,"monthly issuance"
