"account_id","district_id","Id","amount","duration","payments","Predicted","client_id","birth_number","gender","household_amount","name","region","no. of inhabitants","ratio of urban inhabitants","average salary","no. of enterpreneurs per 1000 inhabitants","diff_unemploymant","avg_unemploymant","diff_crimes","avg_crimes","ratio_crimes","type_card"
1166,11,5189,149040,48,3105,1,1404,1968-12-20,0,4397,53,1,75637,36.5,9622,154,0.14,0.52,54,3502,0.046300091225194,0
1247,65,5208,99696,48,2077,-1,1505,1971-06-25,0,0,77,7,114200,43.7,8403,105,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,0
1250,62,5209,182640,48,3805,1,1509,1942-04-19,0,61,70,7,145688,40.7,8544,109,0.57,1.575,187,2812.5,0.0193049530503542,0
1256,38,5212,71064,36,1974,1,1516,1946-10-17,0,1178,35,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0
1375,19,5237,45336,24,1889,1,1663,1957-04-29,1,5930,51,6,51428,52.7,8402,120,0.85,3.555,100,1049,0.0203974488605429,0
1527,31,5269,164052,36,4557,-1,1851,1975-09-12,0,0,66,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0
1583,69,5282,388512,48,8094,-1,1917,1969-03-13,0,0,22,4,42821,48.4,8173,124,0,7.01,0,1358,0.0317134116438196,0
1603,31,5285,78936,12,6578,1,1944,1957-01-22,0,2359,66,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0
1698,68,5301,141948,36,3943,1,2063,1950-09-26,0,0,16,4,228848,57.2,9893,96,0.63,4.405,264,5755,0.0251476962874921,0
1762,28,5310,248148,36,6893,1,2136,1940-07-24,0,853,50,8,72541,36.9,8594,112,0.39,1.815,-55,1552.5,0.0214016900787141,0
1766,28,5311,30060,60,501,1,2141,1951-09-06,1,4353,50,8,72541,36.9,8594,112,0.39,1.815,-55,1552.5,0.0214016900787141,2
1772,31,5312,202788,36,5633,1,2148,1953-07-20,0,11994,66,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0
1787,30,5314,96396,12,8033,-1,2166,1947-07-22,0,0,61,8,94812,81.8,9650,100,0.29,3.525,-181,2894.5,0.0305288360123191,0
1801,46,5316,165960,36,4610,1,2181,1968-07-22,1,4167,39,2,112709,73.5,8369,117,0.52,2.05,-236,2736,0.0242749026253449,0
1811,68,5319,239460,60,3991,1,2195,1942-09-13,0,4206,16,4,228848,57.2,9893,96,0.63,4.405,264,5755,0.0251476962874921,0
1843,14,5325,105804,36,2939,1,2235,1940-04-20,0,6994,9,6,177686,74.8,10045,135,0.29,1.565,-309,6449.5,0.0362971759170672,0
1862,19,5329,396120,60,6602,1,2259,1950-01-02,0,0,51,6,51428,52.7,8402,120,0.85,3.555,100,1049,0.0203974488605429,0
1886,32,5337,162468,36,4513,1,2288,1957-08-23,0,0,8,3,105058,81,9272,118,0.42,3.01,165,4422.5,0.0420957947038779,0
1967,26,5350,249312,48,5194,1,2392,1955-05-21,1,14164,49,8,170449,100,10787,131,0.45,2.865,220,6151,0.0360870406983907,0
1978,1,5351,205200,36,5700,1,2403,1963-01-25,0,7001,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
1993,68,5352,68400,12,5700,-1,2422,1976-06-09,0,0,16,4,228848,57.2,9893,96,0.63,4.405,264,5755,0.0251476962874921,0
2062,70,5366,86184,12,7182,1,2501,1940-12-04,0,107,27,4,285387,89.9,10177,81,1.12,7.19,230,9993,0.0350156103816922,0
2106,1,5375,101520,12,8460,1,2550,1976-10-12,0,3468,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
2143,1,5385,71460,36,1985,1,2592,1980-08-31,0,7264,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
2153,31,5388,61560,12,5130,1,2606,1943-01-04,1,1737,66,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0
2167,16,5390,170256,24,7094,1,2623,1965-07-16,0,5922,25,6,93931,56.9,8427,107,0.42,1.33,39,1893.5,0.0201584141550713,0
2176,67,5395,299088,36,8308,-1,2635,1966-12-10,0,1085,7,4,106054,63.1,8110,109,0.78,6.16,-165,3161.5,0.0298102853263432,0
2218,19,5409,182040,60,3034,1,2686,1951-03-24,0,0,51,6,51428,52.7,8402,120,0.85,3.555,100,1049,0.0203974488605429,0
2227,31,5413,92976,24,3874,1,2698,1970-10-07,0,13386,66,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0
2228,34,5414,185952,48,3874,1,2700,1945-02-22,1,4625,12,3,125236,87.7,9675,100,1.25,7.055,-133,5256.5,0.0419727554377336,0
2236,73,5415,139464,36,3874,-1,2708,1958-08-12,1,0,43,4,182027,56.4,8746,90,0.41,3.535,78,4394,0.0241392760414664,0
2245,29,5418,347952,48,7249,1,2719,1964-10-30,0,0,58,8,45714,55.6,8843,113,0.78,3.21,70,853,0.0186594916218226,0
2268,1,5429,20196,36,561,1,2746,1971-02-25,1,5742,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
2322,33,5445,46320,24,1930,1,2809,1979-02-14,1,3359,14,3,133777,84.7,8705,116,1.86,6.68,209,4754.5,0.0355404890227767,0
2343,68,5449,99336,24,4139,1,2831,1980-07-09,0,4723,16,4,228848,57.2,9893,96,0.63,4.405,264,5755,0.0251476962874921,0
2345,52,5450,199680,60,3328,1,2834,1949-05-23,1,3612,72,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0
2352,70,5452,49440,60,824,1,2843,1966-10-06,0,5581,27,4,285387,89.9,10177,81,1.12,7.19,230,9993,0.0350156103816922,0
2361,28,5453,156672,36,4352,1,2853,1956-04-25,0,4613,50,8,72541,36.9,8594,112,0.39,1.815,-55,1552.5,0.0214016900787141,0
2419,43,5464,95808,12,7984,1,2922,1940-09-07,1,0,20,2,161854,76.3,9425,125,0.78,2.11,-194,3988,0.0246394899106602,0
2456,65,5470,200976,48,4187,1,2966,1955-02-20,1,9554,77,7,114200,43.7,8403,105,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,0
2486,1,5479,24516,12,2043,1,3001,1958-10-07,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
2496,51,5482,165120,60,2752,1,3013,1950-03-18,0,4982,69,2,121947,70.5,8541,131,0.46,2.74,343,3667.5,0.030074540579104,0
2572,64,5494,360000,48,7500,1,3103,1973-03-07,0,0,76,7,197099,74.7,9624,145,0.71,1.955,-219,4374.5,0.0221944302101989,0
2580,60,5495,89340,60,1489,1,3113,1971-11-12,0,5016,56,7,110643,51.9,8441,115,1.03,3.965,373,2065.5,0.0186681489113636,0
2694,52,5519,91632,12,7636,1,3251,1962-12-28,0,3532,72,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0
2705,63,5523,93888,36,2608,1,3264,1950-10-20,0,0,74,7,86513,50.5,8288,110,0.73,4.155,-102,1511,0.0174655832071481,0
2762,11,5533,111384,24,4641,1,3335,1967-02-10,1,6892,53,1,75637,36.5,9622,154,0.14,0.52,54,3502,0.046300091225194,0
2824,11,5549,50460,60,841,1,3414,1947-10-17,0,7289,53,1,75637,36.5,9622,154,0.14,0.52,54,3502,0.046300091225194,0
2912,74,5563,380160,60,6336,1,3519,1949-12-15,1,0,44,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0
2933,10,5568,272520,60,4542,1,3542,1939-09-02,1,5907,52,1,92084,46.7,10124,141,-0.02,0.55,506,4063,0.0441227574822988,0
2962,1,5576,31248,12,2604,1,3576,1939-03-15,0,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
2994,77,5586,48744,36,1354,1,3616,1964-04-14,0,0,73,4,148545,53.5,8909,113,1.55,4.785,130,3525,0.0237301827728971,0
3021,10,5591,155616,48,3242,1,3649,1959-10-25,0,0,52,1,92084,46.7,10124,141,-0.02,0.55,506,4063,0.0441227574822988,0
3037,44,5593,277884,36,7719,-1,3670,1980-09-17,0,6276.92307692308,13,2,105606,53,8254,97,0.97,3.275,159,2245.5,0.0212629964206579,0
3050,49,5595,82896,12,6908,1,3687,1972-02-06,1,9716,60,2,75685,60.8,8208,155,0.37,2.075,463,1891.5,0.0249917420889212,2
3064,1,5599,15420,12,1285,1,3705,1965-06-04,0,1455,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
3084,59,5606,253512,36,7042,-1,3730,1945-08-07,0,9900,31,7,108871,62.1,8444,106,0.23,3.355,-290,2450,0.0225036970359416,0
3112,38,5610,123216,48,2567,1,3763,1977-08-12,0,1468,35,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0
3115,14,5611,321180,60,5353,1,3767,1936-09-07,1,14723,9,6,177686,74.8,10045,135,0.29,1.565,-309,6449.5,0.0362971759170672,0
3166,59,5624,177744,48,3703,-1,3829,1972-03-13,1,0,31,7,108871,62.1,8444,106,0.23,3.355,-290,2450,0.0225036970359416,0
3189,29,5625,222180,60,3703,-1,3855,1939-03-20,1,0,58,8,45714,55.6,8843,113,0.78,3.21,70,853,0.0186594916218226,0
3230,1,5635,77184,36,2144,1,3907,1954-12-09,0,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
3354,63,5657,4980,12,415,1,4056,1952-07-26,0,489,74,7,86513,50.5,8288,110,0.73,4.155,-102,1511,0.0174655832071481,0
3489,9,5693,44088,24,1837,1,4217,1951-06-25,0,3373,41,1,81344,55.3,8899,149,0.58,3.68,-500,2737,0.0336472265932337,0
3608,72,5706,161496,36,4486,1,4352,1971-07-24,1,3124,42,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0
3629,48,5713,158760,60,2646,1,4377,1978-01-31,1,1894,59,2,78955,59,9060,124,0.66,2.11,62,1686,0.0213539357862073,0
3674,38,5723,23628,12,1969,1,4428,1954-03-09,1,9503,35,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0
3678,1,5724,316140,60,5269,-1,4433,1968-02-22,1,5827.77777777778,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
3679,64,5725,444864,48,9268,1,4434,1964-03-29,1,3869,76,7,197099,74.7,9624,145,0.71,1.955,-219,4374.5,0.0221944302101989,0
3747,1,5739,76380,12,6365,1,4520,1957-06-28,0,2389,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
3752,1,5740,18564,12,1547,1,4527,1963-02-04,0,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
3754,37,5741,68544,24,2856,1,4529,1976-09-16,1,3976,34,3,114006,62.3,9065,123,0.93,4.925,19,4156.5,0.0364586074417136,0
3804,7,5750,63252,12,5271,1,4584,1949-06-24,0,643,36,1,94725,63.4,9920,130,0.61,2.565,557,4567.5,0.0482185273159145,0
3834,54,5754,23052,12,1921,1,4620,1940-11-01,0,3114,5,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0
4079,52,5804,158976,48,3312,1,4916,1939-01-09,1,5009,72,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0
4081,11,5805,137904,24,5746,-1,4918,1968-05-06,1,0,53,1,75637,36.5,9622,154,0.14,0.52,54,3502,0.046300091225194,0
4259,66,5836,79632,24,3318,1,5133,1959-08-10,0,9516,75,7,125832,48.3,8512,102,0.61,3.815,-144,2175,0.0172849513637231,0
4260,58,5837,244560,60,4076,1,5134,1967-07-19,0,12006,24,7,109164,63.6,8757,96,0.57,3.665,259,2341.5,0.0214493789161262,0
4337,29,5861,51408,24,2142,1,5224,1949-07-24,1,0,58,8,45714,55.6,8843,113,0.78,3.21,70,853,0.0186594916218226,0
4413,74,5876,221280,48,4610,1,5318,1968-03-28,1,7802,44,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0
4414,17,5877,97224,24,4051,1,5320,1951-04-07,0,3716,46,6,74062,61.4,8114,119,0.24,2.5,178,1092,0.0147444033377441,0
4423,39,5880,73836,36,2051,1,5333,1967-05-29,0,0,38,3,119895,89.9,10446,90,2.06,8.37,-204,4845,0.0404103590641812,0
4427,1,5882,87816,12,7318,1,5337,1961-05-02,1,5005,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
4447,62,5886,192744,36,5354,1,5364,1964-03-14,1,0,70,7,145688,40.7,8544,109,0.57,1.575,187,2812.5,0.0193049530503542,0
4448,60,5887,192744,36,5354,1,5366,1971-09-20,0,0,56,7,110643,51.9,8441,115,1.03,3.965,373,2065.5,0.0186681489113636,0
4462,73,5892,66480,24,2770,-1,5384,1935-07-21,1,0,43,4,182027,56.4,8746,90,0.41,3.535,78,4394,0.0241392760414664,0
4476,24,5897,15192,24,633,1,5399,1972-12-27,0,3195,26,8,122603,80,8991,128,0.62,1.7,75,5235.5,0.0427028702397168,0
4503,50,5900,135360,48,2820,1,5433,1975-09-24,1,0,64,2,102609,52,8187,94,0.62,5.14,11,2128.5,0.0207437944039996,2
4576,57,5918,300204,36,8339,1,5517,1964-03-13,1,5725,19,7,161954,48,8720,116,0.77,4.115,-78,3690,0.0227842473788854,0
4580,9,5922,20220,12,1685,1,5521,1973-05-15,0,8723,41,1,81344,55.3,8899,149,0.58,3.68,-500,2737,0.0336472265932337,0
4585,27,5923,64656,48,1347,1,5526,1947-03-19,1,0,48,8,67298,43.8,8561,110,0.64,0.97,98,1078,0.0160183066361556,0
4650,4,5938,402000,60,6700,1,5606,1980-08-06,1,554,28,1,149893,67.4,9753,109,0.41,4.845,648,5568,0.0371464978351224,0
4727,2,5959,107640,24,4485,1,5701,1959-11-22,0,3580,1,1,88884,46.7,8507,132,0.18,1.76,515,2416.5,0.027187120291616,0
4774,66,5970,465072,48,9689,1,5760,1948-05-08,1,6084.61538461538,75,7,125832,48.3,8512,102,0.61,3.815,-144,2175,0.0172849513637231,0
4825,15,5980,21396,12,1783,1,5826,1968-09-09,1,0,10,6,58796,51.9,9045,124,0.47,3.365,34,1862,0.0316688210082319,0
4851,52,5988,141648,24,5902,1,5858,1952-07-17,1,0,72,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0
4852,47,5989,213300,36,5925,1,5860,1964-04-22,1,4794,45,2,162580,72.8,9538,111,0.3,1.66,-669,5744.5,0.0353333743387871,0
4894,14,5997,117024,24,4876,1,5911,1935-10-03,1,0,9,6,177686,74.8,10045,135,0.29,1.565,-309,6449.5,0.0362971759170672,0
4907,42,5999,98832,48,2059,1,5928,1970-09-10,0,3938,17,2,95907,59.1,8388,87,0.53,2.675,10,1663,0.0173397145151032,0
4937,50,6004,143904,24,5996,1,5965,1951-04-10,1,2687,64,2,102609,52,8187,94,0.62,5.14,11,2128.5,0.0207437944039996,0
4948,43,6006,359760,60,5996,1,5977,1979-05-31,1,4710,20,2,161854,76.3,9425,125,0.78,2.11,-194,3988,0.0246394899106602,0
4981,54,6011,179328,48,3736,1,6015,1973-11-21,1,4930,5,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0
4994,1,6012,258444,36,7179,1,6033,1966-05-27,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
4995,20,6013,128988,36,3583,-1,6034,1939-08-15,1,0,62,6,70646,58.4,8547,120,0.99,3.145,-21,1552.5,0.0219757664977493,0
5001,53,6015,110112,24,4588,1,6042,1963-10-12,1,9292,3,7,107911,50.9,8240,99,1.03,3.045,53,1876.5,0.0173893300960977,0
5033,54,6019,11400,12,950,1,6077,1980-04-30,0,1820,5,7,387570,100,9897,140,0.36,1.78,-25,18708.5,0.0482712800268339,0
5066,13,6027,61656,24,2569,-1,6115,1953-12-25,0,0,57,1,53921,41.3,8598,123,0.49,3.015,278,1736,0.0321952486044398,0
5120,1,6038,323472,48,6739,1,6178,1940-10-15,0,3008,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
5126,58,6043,20352,48,424,1,6185,1948-03-05,0,4208,24,7,109164,63.6,8757,96,0.57,3.665,259,2341.5,0.0214493789161262,0
5213,1,6063,320976,48,6687,-1,6299,1936-08-09,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
5215,55,6064,14628,12,1219,1,6301,1949-03-08,0,2,6,7,157042,33.9,8743,111,0.55,2.155,235,3776.5,0.0240477069828454,0
5228,77,6066,173808,24,7242,1,6317,1957-01-27,0,0,73,4,148545,53.5,8909,113,1.55,4.785,130,3525,0.0237301827728971,0
5256,72,6072,193968,36,5388,1,6349,1972-12-03,1,0,42,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0
5263,64,6073,276300,60,4605,1,6359,1976-07-06,1,3950,76,7,197099,74.7,9624,145,0.71,1.955,-219,4374.5,0.0221944302101989,0
5270,44,6077,79608,24,3317,1,6367,1970-04-28,1,0,13,2,105606,53,8254,97,0.97,3.275,159,2245.5,0.0212629964206579,0
5313,40,6087,300660,60,5011,1,6417,1950-01-07,1,5791,67,3,128118,85.3,9317,97,0.58,6.78,-77,6910.5,0.0539385566430946,0
5385,44,6103,149340,60,2489,1,6499,1963-02-01,1,8754,13,2,105606,53,8254,97,0.97,3.275,159,2245.5,0.0212629964206579,0
5422,66,6109,368880,60,6148,1,6544,1974-08-04,1,832,75,7,125832,48.3,8512,102,0.61,3.815,-144,2175,0.0172849513637231,0
5428,24,6111,174744,24,7281,-1,6551,1948-08-12,0,4650,26,8,122603,80,8991,128,0.62,1.7,75,5235.5,0.0427028702397168,0
5442,5,6112,174744,24,7281,-1,6567,1978-11-21,0,8110,30,1,95616,51.4,9307,118,0.58,4.14,424,2828,0.029576639892905,0
5481,1,6120,209184,48,4358,1,6616,1953-06-18,1,0,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
5541,43,6130,32640,48,680,1,6691,1942-10-15,1,3114,20,2,161854,76.3,9425,125,0.78,2.11,-194,3988,0.0246394899106602,0
5574,13,6137,44628,12,3719,1,6731,1943-11-26,1,11878,57,1,53921,41.3,8598,123,0.49,3.015,278,1736,0.0321952486044398,0
5593,15,6144,44376,12,3698,1,6753,1962-05-23,1,6049,10,6,58796,51.9,9045,124,0.47,3.365,34,1862,0.0316688210082319,0
5622,57,6150,83016,12,6918,1,6789,1979-03-26,1,6327,19,7,161954,48,8720,116,0.77,4.115,-78,3690,0.0227842473788854,0
5628,61,6151,225420,60,3757,1,6798,1948-08-03,0,0,68,7,117897,53.8,8814,107,0.98,5.25,-53,2085.5,0.0176891693596953,0
5632,5,6153,285600,60,4760,1,6803,1980-12-07,0,0,30,1,95616,51.4,9307,118,0.58,4.14,424,2828,0.029576639892905,0
5650,10,6157,98592,24,4108,1,6829,1963-12-24,0,10530,52,1,92084,46.7,10124,141,-0.02,0.55,506,4063,0.0441227574822988,0
5700,42,6169,103680,60,1728,-1,6895,1971-06-24,1,0,17,2,95907,59.1,8388,87,0.53,2.675,10,1663,0.0173397145151032,0
5735,52,6175,290700,60,4845,-1,6936,1959-02-27,0,0,72,2,139012,61.9,8363,108,0.97,3.005,235,2681.5,0.0192897016084942,0
5742,74,6178,232560,48,4845,1,6946,1970-01-29,0,0,44,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0
5774,1,6185,31176,24,1299,1,6987,1968-01-29,1,1413,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
5794,70,6190,123600,60,2060,1,7010,1967-06-30,1,0,27,4,285387,89.9,10177,81,1.12,7.19,230,9993,0.0350156103816922,0
5891,3,6202,65184,12,5432,1,7127,1957-09-29,1,0,2,1,75232,41.7,8980,111,0.26,2.08,-11,2818.5,0.0374641110165887,0
5927,15,6210,87216,48,1817,-1,7166,1964-05-13,1,5050,10,6,58796,51.9,9045,124,0.47,3.365,34,1862,0.0316688210082319,0
5952,50,6216,141240,24,5885,1,7195,1962-09-11,1,3028,64,2,102609,52,8187,94,0.62,5.14,11,2128.5,0.0207437944039996,0
5991,57,6223,61056,48,1272,1,7241,1957-09-06,0,1978,19,7,161954,48,8720,116,0.77,4.115,-78,3690,0.0227842473788854,0
6030,47,6227,28248,24,1177,1,7286,1970-02-10,0,0,45,2,162580,72.8,9538,111,0.3,1.66,-669,5744.5,0.0353333743387871,0
6034,77,6228,464520,60,7742,-1,7291,1940-12-02,0,0,73,4,148545,53.5,8909,113,1.55,4.785,130,3525,0.0237301827728971,0
6040,1,6229,11736,24,489,1,7299,1938-09-16,1,2635,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
6051,56,6232,276660,36,7685,-1,7311,1949-05-18,1,3128.57142857143,4,7,124605,46,8772,126,0.29,4.835,304,3006,0.0241242325749368,0
6118,1,6244,270648,36,7518,-1,7390,1937-11-04,1,5700,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
6148,74,6253,59760,24,2490,1,7422,1958-11-26,1,7847,44,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0
6226,74,6272,398640,60,6644,1,7521,1960-02-09,0,0,44,4,323870,100,10673,100,0.69,5.095,-435,18564.5,0.0573208386080835,0
6273,38,6279,87360,24,3640,1,7576,1962-07-10,1,0,35,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0
6289,64,6283,85632,48,1784,1,7594,1949-04-07,0,0,76,7,197099,74.7,9624,145,0.71,1.955,-219,4374.5,0.0221944302101989,0
6353,26,6294,79920,60,1332,1,7672,1953-04-05,1,586,49,8,170449,100,10787,131,0.45,2.865,220,6151,0.0360870406983907,0
6358,3,6296,270384,48,5633,1,7678,1962-04-07,1,13076,2,1,75232,41.7,8980,111,0.26,2.08,-11,2818.5,0.0374641110165887,0
6363,12,6297,17508,12,1459,1,7683,1946-04-01,1,0,55,1,107870,58,8754,137,0.48,4.07,64,3836,0.0355613238157041,0
6397,48,6302,181020,60,3017,1,7723,1966-06-14,0,0,59,2,78955,59,9060,124,0.66,2.11,62,1686,0.0213539357862073,0
6400,31,6303,72408,24,3017,-1,7727,1958-06-13,0,0,66,8,51313,59.2,8930,108,0.68,3.86,124,1390,0.0270886519985189,0
6425,70,6306,36684,12,3057,1,7753,1978-09-23,0,5731.25,27,4,285387,89.9,10177,81,1.12,7.19,230,9993,0.0350156103816922,0
6434,1,6309,110136,24,4589,1,7765,1958-02-24,0,4891,18,5,1204953,100,12541,167,0.14,0.36,13430,92392,0.0766768496364588,0
6472,61,6315,43164,12,3597,1,7814,1976-01-06,0,0,68,7,117897,53.8,8814,107,0.98,5.25,-53,2085.5,0.0176891693596953,0
6473,4,6316,76908,12,6409,-1,7815,1946-01-19,0,0,28,1,149893,67.4,9753,109,0.41,4.845,648,5568,0.0371464978351224,0
6555,38,6336,212400,36,5900,1,7914,1966-10-24,0,0,35,3,85852,59.8,8965,104,1.15,7.655,169,2737.5,0.0318862693938406,0
6609,16,6342,60156,36,1671,-1,7980,1976-08-08,1,3881,25,6,93931,56.9,8427,107,0.42,1.33,39,1893.5,0.0201584141550713,0
6688,16,6354,22968,36,638,1,8076,1950-07-27,0,0,25,6,93931,56.9,8427,107,0.42,1.33,39,1893.5,0.0201584141550713,0
6701,5,6356,95400,36,2650,1,8091,1971-02-10,1,0,30,1,95616,51.4,9307,118,0.58,4.14,424,2828,0.029576639892905,0
6715,72,6358,137880,60,2298,-1,8105,1963-03-12,1,0,42,4,226122,62.6,8994,110,0.99,4.295,-464,9440,0.041747375310673,0
